Column1;Column2;Column3;Column4;Column5;Column6;Column7
;;"CROSS PROCESS
LOCATION";;PROCESS LOCATION;;
JET;"ROW +
NOZZLE";pixels;mm;pixels;mm;"SIGNAL & BIT SHIFT
ORDER
1 shifted first / 64
shifted last"
J 609;R8,N051;608;25.7387;70;2.9633;DIN09-37
J 610;R10,N051;609;25.781;90;3.81;DIN09-36
J 611;R12,N051;610;25.8233;110;4.6567;DIN09-35
J 612;R9,N051;611;25.8657;80;3.3867;DIN09-33
J 613;R1,N052;612;25.908;0;0;DIN09-17
J 614;R5,N052;613;25.9503;40;1.6933;DIN09-19
J 615;R2,N052;614;25.9927;10;0.4233;DIN09-28
J 616;R4,N052;615;26.035;30;1.27;DIN09-27
J 617;R6,N052;616;26.0773;50;2.1167;DIN09-26
J 618;R3,N052;617;26.1197;20;0.8467;DIN09-18
J 619;R7,N052;618;26.162;60;2.54;DIN09-20
J 620;R11,N052;619;26.2043;100;4.2333;DIN09-22
J 621;R8,N052;620;26.2467;70;2.9633;DIN09-25
J 622;R10,N052;621;26.289;90;3.81;DIN09-24
J 623;R12,N052;622;26.3313;110;4.6567;DIN09-23
J 624;R9,N052;623;26.3737;80;3.3867;DIN09-21
J 625;R1,N053;624;26.416;0;0;DIN09-05
J 626;R5,N053;625;26.4583;40;1.6933;DIN09-07
J 627;R2,N053;626;26.5007;10;0.4233;DIN09-16
J 628;R4,N053;627;26.543;30;1.27;DIN09-15
J 629;R6,N053;628;26.5853;50;2.1167;DIN09-14
J 630;R3,N053;629;26.6277;20;0.8467;DIN09-06
J 631;R7,N053;630;26.67;60;2.54;DIN09-08
J 632;R11,N053;631;26.7123;100;4.2333;DIN09-10
J 633;R8,N053;632;26.7547;70;2.9633;DIN09-13
J 634;R10,N053;633;26.797;90;3.81;DIN09-12
J 635;R12,N053;634;26.8393;110;4.6567;DIN09-11
J 636;R9,N053;635;26.8817;80;3.3867;DIN09-09
J 637;R1,N054;636;26.924;0;0;DIN10-57
